1, none, minecraft:the_void, MONSTER, mowziesmobs:grottol, 10, 1, 1
39, plains, minecraft:sunflower_plains, MONSTER, minecraft:spider, 80, 4, 4
40, plains, minecraft:sunflower_plains, MONSTER, minecraft:zombie, 80, 4, 4
41, plains, minecraft:sunflower_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
42, plains, minecraft:sunflower_plains, MONSTER, minecraft:skeleton, 80, 4, 4
43, plains, minecraft:sunflower_plains, MONSTER, minecraft:creeper, 80, 4, 4
44, plains, minecraft:sunflower_plains, MONSTER, minecraft:slime, 80, 4, 4
45, plains, minecraft:sunflower_plains, MONSTER, minecraft:enderman, 5, 1, 4
46, plains, minecraft:sunflower_plains, MONSTER, minecraft:witch, 5, 1, 1
47, plains, minecraft:sunflower_plains, MONSTER, mowziesmobs:grottol, 10, 1, 1
48, plains, minecraft:sunflower_plains, MONSTER, midnight_madness:underworld_horror, 10, 1, 1
49, plains, minecraft:sunflower_plains, MONSTER, midnight_madness:necromancer, 10, 1, 2
50, plains, minecraft:sunflower_plains, MONSTER, midnight_madness:fallen_king, 10, 1, 1
51, plains, minecraft:sunflower_plains, MONSTER, turrets:missile, 20, 4, 4
52, plains, minecraft:sunflower_plains, MONSTER, quark:stoneling, 80, 1, 1
53, plains, minecraft:sunflower_plains, MONSTER, quark:toretoise, 80, 2, 4
54, plains, minecraft:sunflower_plains, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
55, plains, minecraft:sunflower_plains, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
56, plains, minecraft:sunflower_plains, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
57, plains, minecraft:sunflower_plains, CREATURE, minecraft:sheep, 12, 4, 4
58, plains, minecraft:sunflower_plains, CREATURE, minecraft:pig, 10, 4, 4
59, plains, minecraft:sunflower_plains, CREATURE, minecraft:chicken, 10, 4, 4
60, plains, minecraft:sunflower_plains, CREATURE, minecraft:cow, 10, 4, 4
61, plains, minecraft:sunflower_plains, CREATURE, minecraft:horse, 10, 2, 6
62, plains, minecraft:sunflower_plains, CREATURE, minecraft:donkey, 10, 1, 3
63, plains, minecraft:sunflower_plains, CREATURE, powder_and_more_remastered:bull, 20, 3, 6
64, plains, minecraft:sunflower_plains, CREATURE, powder_and_more_remastered:partyslime, 14, 1, 1
65, plains, minecraft:sunflower_plains, CREATURE, powder_and_more_remastered:quineslime, 20, 4, 4
66, plains, minecraft:sunflower_plains, AMBIENT, minecraft:bat, 10, 8, 8
67, plains, minecraft:sunflower_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
68, icy, minecraft:snowy_plains, MONSTER, minecraft:spider, 80, 4, 4
69, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie, 80, 4, 4
70, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
71, icy, minecraft:snowy_plains, MONSTER, minecraft:skeleton, 20, 4, 4
72, icy, minecraft:snowy_plains, MONSTER, minecraft:creeper, 80, 4, 4
73, icy, minecraft:snowy_plains, MONSTER, minecraft:slime, 80, 4, 4
74, icy, minecraft:snowy_plains, MONSTER, minecraft:enderman, 5, 1, 4
75, icy, minecraft:snowy_plains, MONSTER, minecraft:witch, 5, 1, 1
76, icy, minecraft:snowy_plains, MONSTER, minecraft:stray, 80, 4, 4
77, icy, minecraft:snowy_plains, MONSTER, mowziesmobs:grottol, 10, 1, 1
78, icy, minecraft:snowy_plains, MONSTER, midnight_madness:underworld_horror, 10, 1, 1
79, icy, minecraft:snowy_plains, MONSTER, midnight_madness:necromancer, 10, 1, 2
80, icy, minecraft:snowy_plains, MONSTER, midnight_madness:fallen_king, 10, 1, 1
81, icy, minecraft:snowy_plains, MONSTER, turrets:missile, 20, 4, 4
82, icy, minecraft:snowy_plains, MONSTER, quark:stoneling, 80, 1, 1
83, icy, minecraft:snowy_plains, MONSTER, quark:toretoise, 80, 2, 4
84, icy, minecraft:snowy_plains, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
85, icy, minecraft:snowy_plains, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
86, icy, minecraft:snowy_plains, MONSTER, mekanismadditions:baby_skeleton, 10, 2, 2
87, icy, minecraft:snowy_plains, MONSTER, mekanismadditions:baby_stray, 40, 2, 2
88, icy, minecraft:snowy_plains, CREATURE, minecraft:rabbit, 10, 2, 3
89, icy, minecraft:snowy_plains, CREATURE, minecraft:polar_bear, 10, 1, 2
90, icy, minecraft:snowy_plains, CREATURE, powder_and_more_remastered:bull, 20, 3, 6
91, icy, minecraft:snowy_plains, CREATURE, powder_and_more_remastered:partyslime, 14, 1, 1
92, icy, minecraft:snowy_plains, CREATURE, powder_and_more_remastered:quineslime, 20, 4, 4
93, icy, minecraft:snowy_plains, AMBIENT, minecraft:bat, 10, 8, 8
94, icy, minecraft:snowy_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
95, icy, minecraft:ice_spikes, MONSTER, minecraft:spider, 80, 4, 4
96, icy, minecraft:ice_spikes, MONSTER, minecraft:zombie, 80, 4, 4
97, icy, minecraft:ice_spikes, MONSTER, minecraft:zombie_villager, 10, 1, 1
98, icy, minecraft:ice_spikes, MONSTER, minecraft:skeleton, 20, 4, 4
99, icy, minecraft:ice_spikes, MONSTER, minecraft:creeper, 80, 4, 4
100, icy, minecraft:ice_spikes, MONSTER, minecraft:slime, 80, 4, 4
101, icy, minecraft:ice_spikes, MONSTER, minecraft:enderman, 5, 1, 4
102, icy, minecraft:ice_spikes, MONSTER, minecraft:witch, 5, 1, 1
103, icy, minecraft:ice_spikes, MONSTER, minecraft:stray, 80, 4, 4
104, icy, minecraft:ice_spikes, MONSTER, mowziesmobs:grottol, 10, 1, 1
105, icy, minecraft:ice_spikes, MONSTER, midnight_madness:underworld_horror, 10, 1, 1
106, icy, minecraft:ice_spikes, MONSTER, midnight_madness:necromancer, 10, 1, 2
107, icy, minecraft:ice_spikes, MONSTER, midnight_madness:fallen_king, 10, 1, 1
108, icy, minecraft:ice_spikes, MONSTER, turrets:missile, 20, 4, 4
109, icy, minecraft:ice_spikes, MONSTER, quark:stoneling, 80, 1, 1
110, icy, minecraft:ice_spikes, MONSTER, quark:toretoise, 80, 2, 4
111, icy, minecraft:ice_spikes, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
112, icy, minecraft:ice_spikes, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
113, icy, minecraft:ice_spikes, MONSTER, mekanismadditions:baby_skeleton, 10, 2, 2
114, icy, minecraft:ice_spikes, MONSTER, mekanismadditions:baby_stray, 40, 2, 2
115, icy, minecraft:ice_spikes, CREATURE, minecraft:rabbit, 10, 2, 3
116, icy, minecraft:ice_spikes, CREATURE, minecraft:polar_bear, 10, 1, 2
117, icy, minecraft:ice_spikes, CREATURE, powder_and_more_remastered:bull, 20, 3, 6
118, icy, minecraft:ice_spikes, CREATURE, powder_and_more_remastered:partyslime, 14, 1, 1
119, icy, minecraft:ice_spikes, CREATURE, powder_and_more_remastered:quineslime, 20, 4, 4
120, icy, minecraft:ice_spikes, AMBIENT, minecraft:bat, 10, 8, 8
121, icy, minecraft:ice_spikes, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
122, desert, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
123, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
124, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 10, 1, 1
125, desert, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
126, desert, minecraft:desert, MONSTER, minecraft:creeper, 80, 4, 4
127, desert, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
128, desert, minecraft:desert, MONSTER, minecraft:enderman, 5, 1, 4
129, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
130, desert, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
131, desert, minecraft:desert, MONSTER, mowziesmobs:grottol, 10, 1, 1
132, desert, minecraft:desert, MONSTER, midnight_madness:underworld_horror, 10, 1, 1
133, desert, minecraft:desert, MONSTER, midnight_madness:necromancer, 10, 1, 2
134, desert, minecraft:desert, MONSTER, midnight_madness:fallen_king, 10, 1, 1
135, desert, minecraft:desert, MONSTER, turrets:missile, 20, 4, 4
136, desert, minecraft:desert, MONSTER, powder_and_more_remastered:fossil_zombie, 10, 1, 2
137, desert, minecraft:desert, MONSTER, quark:stoneling, 80, 1, 1
138, desert, minecraft:desert, MONSTER, quark:toretoise, 80, 2, 4
139, desert, minecraft:desert, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
140, desert, minecraft:desert, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
141, desert, minecraft:desert, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
142, desert, minecraft:desert, CREATURE, minecraft:rabbit, 10, 2, 3
143, desert, minecraft:desert, CREATURE, powder_and_more_remastered:bull, 20, 3, 6
144, desert, minecraft:desert, CREATURE, powder_and_more_remastered:partyslime, 14, 1, 1
145, desert, minecraft:desert, CREATURE, powder_and_more_remastered:quineslime, 20, 4, 4
146, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
147, desert, minecraft:desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
148, swamp, minecraft:swamp, MONSTER, minecraft:spider, 80, 4, 4
149, swamp, minecraft:swamp, MONSTER, minecraft:zombie, 80, 4, 4
150, swamp, minecraft:swamp, MONSTER, minecraft:zombie_villager, 10, 1, 1
151, swamp, minecraft:swamp, MONSTER, minecraft:skeleton, 80, 4, 4
152, swamp, minecraft:swamp, MONSTER, minecraft:creeper, 80, 4, 4
153, swamp, minecraft:swamp, MONSTER, minecraft:slime, 80, 4, 4
154, swamp, minecraft:swamp, MONSTER, minecraft:enderman, 5, 1, 4
155, swamp, minecraft:swamp, MONSTER, minecraft:witch, 5, 1, 1
156, swamp, minecraft:swamp, MONSTER, minecraft:slime, 10, 1, 1
157, swamp, minecraft:swamp, MONSTER, mowziesmobs:grottol, 10, 1, 1
158, swamp, minecraft:swamp, MONSTER, midnight_madness:underworld_horror, 10, 1, 1
159, swamp, minecraft:swamp, MONSTER, midnight_madness:necromancer, 10, 1, 2
160, swamp, minecraft:swamp, MONSTER, midnight_madness:fallen_king, 10, 1, 1
161, swamp, minecraft:swamp, MONSTER, turrets:missile, 20, 4, 4
162, swamp, minecraft:swamp, MONSTER, quark:stoneling, 80, 1, 1
163, swamp, minecraft:swamp, MONSTER, quark:toretoise, 80, 2, 4
164, swamp, minecraft:swamp, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
165, swamp, minecraft:swamp, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
166, swamp, minecraft:swamp, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
167, swamp, minecraft:swamp, CREATURE, minecraft:sheep, 12, 4, 4
168, swamp, minecraft:swamp, CREATURE, minecraft:pig, 10, 4, 4
169, swamp, minecraft:swamp, CREATURE, minecraft:chicken, 10, 4, 4
170, swamp, minecraft:swamp, CREATURE, minecraft:cow, 10, 4, 4
171, swamp, minecraft:swamp, CREATURE, powder_and_more_remastered:bull, 20, 3, 6
172, swamp, minecraft:swamp, CREATURE, powder_and_more_remastered:partyslime, 14, 1, 1
173, swamp, minecraft:swamp, CREATURE, powder_and_more_remastered:quineslime, 20, 4, 4
174, swamp, minecraft:swamp, CREATURE, quark:frog, 40, 1, 3
175, swamp, minecraft:swamp, AMBIENT, minecraft:bat, 10, 8, 8
176, swamp, minecraft:swamp, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
177, forest, minecraft:forest, MONSTER, minecraft:spider, 80, 4, 4
178, forest, minecraft:forest, MONSTER, minecraft:zombie, 80, 4, 4
179, forest, minecraft:forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
180, forest, minecraft:forest, MONSTER, minecraft:skeleton, 80, 4, 4
181, forest, minecraft:forest, MONSTER, minecraft:creeper, 80, 4, 4
182, forest, minecraft:forest, MONSTER, minecraft:slime, 80, 4, 4
183, forest, minecraft:forest, MONSTER, minecraft:enderman, 5, 1, 4
184, forest, minecraft:forest, MONSTER, minecraft:witch, 5, 1, 1
185, forest, minecraft:forest, MONSTER, mowziesmobs:grottol, 10, 1, 1
186, forest, minecraft:forest, MONSTER, midnight_madness:underworld_horror, 10, 1, 1
187, forest, minecraft:forest, MONSTER, midnight_madness:necromancer, 10, 1, 2
188, forest, minecraft:forest, MONSTER, midnight_madness:fallen_king, 10, 1, 1
189, forest, minecraft:forest, MONSTER, midnight_madness:dark_wolf, 50, 3, 6
190, forest, minecraft:forest, MONSTER, turrets:missile, 20, 4, 4
191, forest, minecraft:forest, MONSTER, quark:stoneling, 80, 1, 1
192, forest, minecraft:forest, MONSTER, quark:toretoise, 80, 2, 4
193, forest, minecraft:forest, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
194, forest, minecraft:forest, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
195, forest, minecraft:forest, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
196, forest, minecraft:forest, CREATURE, minecraft:sheep, 12, 4, 4
197, forest, minecraft:forest, CREATURE, minecraft:pig, 10, 4, 4
198, forest, minecraft:forest, CREATURE, minecraft:chicken, 10, 4, 4
199, forest, minecraft:forest, CREATURE, minecraft:cow, 10, 4, 4
200, forest, minecraft:forest, CREATURE, minecraft:wolf, 10, 4, 4
201, forest, minecraft:forest, CREATURE, powder_and_more_remastered:bull, 20, 3, 6
202, forest, minecraft:forest, CREATURE, powder_and_more_remastered:partyslime, 14, 1, 1
203, forest, minecraft:forest, CREATURE, powder_and_more_remastered:quineslime, 20, 4, 4
204, forest, minecraft:forest, AMBIENT, minecraft:bat, 10, 8, 8
205, forest, minecraft:forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
206, forest, minecraft:flower_forest, MONSTER, minecraft:spider, 80, 4, 4
207, forest, minecraft:flower_forest, MONSTER, minecraft:zombie, 80, 4, 4
208, forest, minecraft:flower_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
209, forest, minecraft:flower_forest, MONSTER, minecraft:skeleton, 80, 4, 4
210, forest, minecraft:flower_forest, MONSTER, minecraft:creeper, 80, 4, 4
211, forest, minecraft:flower_forest, MONSTER, minecraft:slime, 80, 4, 4
212, forest, minecraft:flower_forest, MONSTER, minecraft:enderman, 5, 1, 4
213, forest, minecraft:flower_forest, MONSTER, minecraft:witch, 5, 1, 1
214, forest, minecraft:flower_forest, MONSTER, mowziesmobs:grottol, 10, 1, 1
215, forest, minecraft:flower_forest, MONSTER, midnight_madness:underworld_horror, 10, 1, 1
216, forest, minecraft:flower_forest, MONSTER, midnight_madness:necromancer, 10, 1, 2
217, forest, minecraft:flower_forest, MONSTER, midnight_madness:fallen_king, 10, 1, 1
218, forest, minecraft:flower_forest, MONSTER, midnight_madness:dark_wolf, 50, 3, 6
219, forest, minecraft:flower_forest, MONSTER, turrets:missile, 20, 4, 4
220, forest, minecraft:flower_forest, MONSTER, quark:stoneling, 80, 1, 1
221, forest, minecraft:flower_forest, MONSTER, quark:toretoise, 80, 2, 4
222, forest, minecraft:flower_forest, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
223, forest, minecraft:flower_forest, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
224, forest, minecraft:flower_forest, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
225, forest, minecraft:flower_forest, CREATURE, minecraft:sheep, 12, 4, 4
226, forest, minecraft:flower_forest, CREATURE, minecraft:pig, 10, 4, 4
227, forest, minecraft:flower_forest, CREATURE, minecraft:chicken, 10, 4, 4
228, forest, minecraft:flower_forest, CREATURE, minecraft:cow, 10, 4, 4
229, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit, 10, 2, 3
230, forest, minecraft:flower_forest, CREATURE, powder_and_more_remastered:bull, 20, 3, 6
231, forest, minecraft:flower_forest, CREATURE, powder_and_more_remastered:partyslime, 14, 1, 1
232, forest, minecraft:flower_forest, CREATURE, powder_and_more_remastered:quineslime, 20, 4, 4
233, forest, minecraft:flower_forest, AMBIENT, minecraft:bat, 10, 8, 8
234, forest, minecraft:flower_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
235, forest, minecraft:birch_forest, MONSTER, minecraft:spider, 80, 4, 4
236, forest, minecraft:birch_forest, MONSTER, minecraft:zombie, 80, 4, 4
237, forest, minecraft:birch_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
238, forest, minecraft:birch_forest, MONSTER, minecraft:skeleton, 80, 4, 4
239, forest, minecraft:birch_forest, MONSTER, minecraft:creeper, 80, 4, 4
240, forest, minecraft:birch_forest, MONSTER, minecraft:slime, 80, 4, 4
241, forest, minecraft:birch_forest, MONSTER, minecraft:enderman, 5, 1, 4
242, forest, minecraft:birch_forest, MONSTER, minecraft:witch, 5, 1, 1
243, forest, minecraft:birch_forest, MONSTER, mowziesmobs:grottol, 10, 1, 1
244, forest, minecraft:birch_forest, MONSTER, midnight_madness:underworld_horror, 10, 1, 1
245, forest, minecraft:birch_forest, MONSTER, midnight_madness:necromancer, 10, 1, 2
246, forest, minecraft:birch_forest, MONSTER, midnight_madness:fallen_king, 10, 1, 1
247, forest, minecraft:birch_forest, MONSTER, midnight_madness:dark_wolf, 50, 3, 6
248, forest, minecraft:birch_forest, MONSTER, turrets:missile, 20, 4, 4
249, forest, minecraft:birch_forest, MONSTER, quark:stoneling, 80, 1, 1
250, forest, minecraft:birch_forest, MONSTER, quark:toretoise, 80, 2, 4
251, forest, minecraft:birch_forest, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
252, forest, minecraft:birch_forest, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
253, forest, minecraft:birch_forest, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
254, forest, minecraft:birch_forest, CREATURE, minecraft:sheep, 12, 4, 4
255, forest, minecraft:birch_forest, CREATURE, minecraft:pig, 10, 4, 4
256, forest, minecraft:birch_forest, CREATURE, minecraft:chicken, 10, 4, 4
257, forest, minecraft:birch_forest, CREATURE, minecraft:cow, 10, 4, 4
258, forest, minecraft:birch_forest, CREATURE, powder_and_more_remastered:bull, 20, 3, 6
259, forest, minecraft:birch_forest, CREATURE, powder_and_more_remastered:partyslime, 14, 1, 1
260, forest, minecraft:birch_forest, CREATURE, powder_and_more_remastered:quineslime, 20, 4, 4
261, forest, minecraft:birch_forest, AMBIENT, minecraft:bat, 10, 8, 8
262, forest, minecraft:birch_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
263, forest, minecraft:dark_forest, MONSTER, minecraft:spider, 80, 4, 4
264, forest, minecraft:dark_forest, MONSTER, minecraft:zombie, 80, 4, 4
265, forest, minecraft:dark_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
266, forest, minecraft:dark_forest, MONSTER, minecraft:skeleton, 80, 4, 4
267, forest, minecraft:dark_forest, MONSTER, minecraft:creeper, 80, 4, 4
268, forest, minecraft:dark_forest, MONSTER, minecraft:slime, 80, 4, 4
269, forest, minecraft:dark_forest, MONSTER, minecraft:enderman, 5, 1, 4
270, forest, minecraft:dark_forest, MONSTER, minecraft:witch, 5, 1, 1
271, forest, minecraft:dark_forest, MONSTER, mowziesmobs:grottol, 10, 1, 1
272, forest, minecraft:dark_forest, MONSTER, midnight_madness:underworld_horror, 10, 1, 1
273, forest, minecraft:dark_forest, MONSTER, midnight_madness:necromancer, 10, 1, 2
274, forest, minecraft:dark_forest, MONSTER, midnight_madness:fallen_king, 10, 1, 1
275, forest, minecraft:dark_forest, MONSTER, midnight_madness:dark_wolf, 50, 3, 6
276, forest, minecraft:dark_forest, MONSTER, turrets:missile, 20, 4, 4
277, forest, minecraft:dark_forest, MONSTER, quark:stoneling, 80, 1, 1
278, forest, minecraft:dark_forest, MONSTER, quark:toretoise, 80, 2, 4
279, forest, minecraft:dark_forest, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
280, forest, minecraft:dark_forest, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
281, forest, minecraft:dark_forest, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
282, forest, minecraft:dark_forest, CREATURE, minecraft:sheep, 12, 4, 4
283, forest, minecraft:dark_forest, CREATURE, minecraft:pig, 10, 4, 4
284, forest, minecraft:dark_forest, CREATURE, minecraft:chicken, 10, 4, 4
285, forest, minecraft:dark_forest, CREATURE, minecraft:cow, 10, 4, 4
286, forest, minecraft:dark_forest, CREATURE, powder_and_more_remastered:bull, 20, 3, 6
287, forest, minecraft:dark_forest, CREATURE, powder_and_more_remastered:partyslime, 14, 1, 1
288, forest, minecraft:dark_forest, CREATURE, powder_and_more_remastered:quineslime, 20, 4, 4
289, forest, minecraft:dark_forest, AMBIENT, minecraft:bat, 10, 8, 8
290, forest, minecraft:dark_forest, AMBIENT, mowziesmobs:lantern, 10, 2, 4
291, forest, minecraft:dark_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
292, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:spider, 80, 4, 4
293, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:zombie, 80, 4, 4
294, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
295, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:skeleton, 80, 4, 4
296, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:creeper, 80, 4, 4
297, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:slime, 80, 4, 4
298, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:enderman, 5, 1, 4
299, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:witch, 5, 1, 1
300, forest, minecraft:old_growth_birch_forest, MONSTER, mowziesmobs:grottol, 10, 1, 1
301, forest, minecraft:old_growth_birch_forest, MONSTER, midnight_madness:underworld_horror, 10, 1, 1
302, forest, minecraft:old_growth_birch_forest, MONSTER, midnight_madness:necromancer, 10, 1, 2
303, forest, minecraft:old_growth_birch_forest, MONSTER, midnight_madness:fallen_king, 10, 1, 1
304, forest, minecraft:old_growth_birch_forest, MONSTER, midnight_madness:dark_wolf, 50, 3, 6
305, forest, minecraft:old_growth_birch_forest, MONSTER, turrets:missile, 20, 4, 4
306, forest, minecraft:old_growth_birch_forest, MONSTER, quark:stoneling, 80, 1, 1
307, forest, minecraft:old_growth_birch_forest, MONSTER, quark:toretoise, 80, 2, 4
308, forest, minecraft:old_growth_birch_forest, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
309, forest, minecraft:old_growth_birch_forest, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
310, forest, minecraft:old_growth_birch_forest, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
311, forest, minecraft:old_growth_birch_forest, CREATURE, minecraft:sheep, 12, 4, 4
312, forest, minecraft:old_growth_birch_forest, CREATURE, minecraft:pig, 10, 4, 4
313, forest, minecraft:old_growth_birch_forest, CREATURE, minecraft:chicken, 10, 4, 4
314, forest, minecraft:old_growth_birch_forest, CREATURE, minecraft:cow, 10, 4, 4
315, forest, minecraft:old_growth_birch_forest, CREATURE, powder_and_more_remastered:bull, 20, 3, 6
316, forest, minecraft:old_growth_birch_forest, CREATURE, powder_and_more_remastered:partyslime, 14, 1, 1
317, forest, minecraft:old_growth_birch_forest, CREATURE, powder_and_more_remastered:quineslime, 20, 4, 4
318, forest, minecraft:old_growth_birch_forest, AMBIENT, minecraft:bat, 10, 8, 8
319, forest, minecraft:old_growth_birch_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
320, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:spider, 80, 4, 4
321, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:zombie, 80, 4, 4
322, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:zombie_villager, 25, 1, 1
323, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:skeleton, 80, 4, 4
324, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:creeper, 80, 4, 4
325, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:slime, 80, 4, 4
326, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:enderman, 5, 1, 4
327, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:witch, 5, 1, 1
328, taiga, minecraft:old_growth_pine_taiga, MONSTER, mowziesmobs:grottol, 10, 1, 1
