1, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
44, mowziesmobs:frostmaw_spawn, HEADING, header:ignore, 0, 0, 0
45, valhelsia_structures:castle, HEADING, header:ignore, 0, 0, 0
46, valhelsia_structures:castle_ruin, HEADING, header:ignore, 0, 0, 0
47, valhelsia_structures:desert_house, HEADING, header:ignore, 0, 0, 0
48, valhelsia_structures:forge, HEADING, header:ignore, 0, 0, 0
49, valhelsia_structures:player_house, HEADING, header:ignore, 0, 0, 0
50, valhelsia_structures:spawner_dungeon, HEADING, header:ignore, 0, 0, 0
51, valhelsia_structures:tower_ruin, HEADING, header:ignore, 0, 0, 0
52, valhelsia_structures:witch_hut, HEADING, header:ignore, 0, 0, 0
53, valhelsia_structures:witch_hut, MONSTER, minecraft:witch, 80, 1, 1
54, valhelsia_structures:witch_hut, CREATURE, minecraft:cat, 80, 1, 1
55, valhelsia_structures:big_tree, HEADING, header:ignore, 0, 0, 0
56, dungeons_arise:abandoned_temple, HEADING, header:ignore, 0, 0, 0
57, dungeons_arise:bandit_village, HEADING, header:ignore, 0, 0, 0
58, dungeons_arise:ceryneian_hind, HEADING, header:ignore, 0, 0, 0
59, dungeons_arise:coliseum, HEADING, header:ignore, 0, 0, 0
60, dungeons_arise:fishing_hut, HEADING, header:ignore, 0, 0, 0
61, dungeons_arise:giant_mushroom, HEADING, header:ignore, 0, 0, 0
62, dungeons_arise:heavenly_rider, HEADING, header:ignore, 0, 0, 0
63, dungeons_arise:heavenly_conqueror, HEADING, header:ignore, 0, 0, 0
64, dungeons_arise:illager_campsite, HEADING, header:ignore, 0, 0, 0
65, dungeons_arise:illager_corsair, HEADING, header:ignore, 0, 0, 0
66, dungeons_arise:illager_fort, HEADING, header:ignore, 0, 0, 0
67, dungeons_arise:illager_galley, HEADING, header:ignore, 0, 0, 0
68, dungeons_arise:illager_windmill, HEADING, header:ignore, 0, 0, 0
69, dungeons_arise:jungle_tree_house, HEADING, header:ignore, 0, 0, 0
70, dungeons_arise:lighthouse, HEADING, header:ignore, 0, 0, 0
71, dungeons_arise:merchant_campsite, HEADING, header:ignore, 0, 0, 0
72, dungeons_arise:monastery, HEADING, header:ignore, 0, 0, 0
73, dungeons_arise:mushroom_house, HEADING, header:ignore, 0, 0, 0
74, dungeons_arise:mushroom_mines, HEADING, header:ignore, 0, 0, 0
75, dungeons_arise:mushroom_village, HEADING, header:ignore, 0, 0, 0
76, dungeons_arise:scorched_mines, HEADING, header:ignore, 0, 0, 0
77, dungeons_arise:small_blimp, HEADING, header:ignore, 0, 0, 0
78, dungeons_arise:wishing_well, HEADING, header:ignore, 0, 0, 0
79, dungeons_arise:typhon, HEADING, header:ignore, 0, 0, 0
80, dungeons_arise:undead_pirate_ship, HEADING, header:ignore, 0, 0, 0
81, betterdungeons:skeleton_dungeon, HEADING, header:ignore, 0, 0, 0
82, betterdungeons:skeleton_dungeon, MONSTER, minecraft:skeleton, 80, 4, 15
83, betterdungeons:zombie_dungeon, HEADING, header:ignore, 0, 0, 0
84, betterdungeons:zombie_dungeon, MONSTER, minecraft:zombie, 80, 4, 15
85, dungeons_arise:aviary, HEADING, header:ignore, 0, 0, 0
86, dungeons_arise:aviary, MONSTER, minecraft:pig, 60, 2, 3
87, dungeons_arise:bandit_towers, HEADING, header:ignore, 0, 0, 0
88, dungeons_arise:foundry, HEADING, header:ignore, 0, 0, 0
89, dungeons_arise:heavenly_challenger, HEADING, header:ignore, 0, 0, 0
90, dungeons_arise:thornborn_towers, HEADING, header:ignore, 0, 0, 0
91, dungeons_arise:infested_temple, HEADING, header:ignore, 0, 0, 0
92, dungeons_arise:mining_system, HEADING, header:ignore, 0, 0, 0
93, dungeons_arise:plague_asylum, HEADING, header:ignore, 0, 0, 0
94, dungeons_arise:shiraz_palace, HEADING, header:ignore, 0, 0, 0
95, quark:mega_dungeon, HEADING, header:ignore, 0, 0, 0
96, minecolonies:medieval_birch_colony, HEADING, header:ignore, 0, 0, 0
97, minecolonies:medieval_birch_colony, CREATURE, minecraft:cat, 80, 1, 2
98, minecolonies:medieval_oak_colony, HEADING, header:ignore, 0, 0, 0
99, minecolonies:medieval_oak_colony, CREATURE, minecraft:cat, 80, 1, 2
100, minecolonies:medieval_spruce_colony, HEADING, header:ignore, 0, 0, 0
101, minecolonies:medieval_spruce_colony, CREATURE, minecraft:cat, 80, 1, 2
102, minecolonies:medieval_dark_oak_colony, HEADING, header:ignore, 0, 0, 0
103, minecolonies:medieval_dark_oak_colony, CREATURE, minecraft:cat, 80, 1, 2
104, minecolonies:asian_colony, HEADING, header:ignore, 0, 0, 0
105, minecolonies:asian_colony, CREATURE, minecraft:cat, 80, 1, 2
106, minecolonies:caledonia_colony, HEADING, header:ignore, 0, 0, 0
107, minecolonies:caledonia_colony, CREATURE, minecraft:cat, 80, 1, 2
108, betterdungeons:spider_dungeon, HEADING, header:ignore, 0, 0, 0
109, betterdungeons:spider_dungeon, MONSTER, minecraft:spider, 80, 4, 15
110, betterdungeons:spider_dungeon, MONSTER, minecraft:cave_spider, 50, 4, 8
111, betterstrongholds:stronghold, HEADING, header:ignore, 0, 0, 0
112, betterdungeons:small_dungeon, HEADING, header:ignore, 0, 0, 0
113, dungeons_arise:small_prairie_house, HEADING, header:ignore, 0, 0, 0
